0.00163684,0.00153642,0.00123062,0.000964747,0.000822596,0.000815184,0.000864578,0.000694063,0.000368391,0.000186778,0.000685959,0.00122087
0.0152025,0.023884,0.0186955,0.00864574,0.00391274,0.00324443,0.00456157,0.00796732,0.0111573,0.00836947,0.00554866,0.00643987
0.0162974,0.0398982,0.0235582,0.00388805,0.00161331,0.00231674,0.00457764,0.0104732,0.0184082,0.0124075,0.00522282,0.00382556
0.0153413,0.0361859,0.0182179,0.00348213,0.00346952,0.00358112,0.0049736,0.00900454,0.0172949,0.0115853,0.00228435,0.00281135
0.0162405,0.0372002,0.0240484,0.0134445,0.00695948,0.00268691,0.00299879,0.0124786,0.0263751,0.0150328,0.00302407,0.00284195
0.0140495,0.0301356,0.016388,0.0106827,0.00561267,0.00202663,0.0021753,0.0104249,0.0258156,0.0135316,0.00228007,0.00195982
0.0121239,0.0281919,0.0187009,0.0130393,0.00915299,0.0044669,0.00463696,0.0123505,0.0279314,0.0133173,0.00553867,0.00591607
0.0186575,0.0269744,0.0182764,0.0123644,0.00915214,0.00992908,0.0121016,0.0156986,0.0277864,0.013885,0.00817211,0.0182814
0.0173131,0.0256568,0.0148624,0.0110668,0.00677902,0.00605515,0.010893,0.0149694,0.0277528,0.0143095,0.00743737,0.0181364
0.0176388,0.0264152,0.0191627,0.0151784,0.00902379,0.00665139,0.0114118,0.0171189,0.0307651,0.0165163,0.00966015,0.0210394
0.0176285,0.0295707,0.0303261,0.0171275,0.00565711,0.00403428,0.00814115,0.0151017,0.0317788,0.0224171,0.00971007,0.0164215
0.0123162,0.0241223,0.025805,0.014365,0.0048795,0.00325489,0.00666989,0.0126343,0.0253649,0.0195232,0.00852762,0.0138462
0.013973,0.0239165,0.0235205,0.0121287,0.00411887,0.00267878,0.00534149,0.0125915,0.0268475,0.0193525,0.00830772,0.0121173
0.0111385,0.0269392,0.029309,0.0153809,0.00374352,0.00216056,0.00436893,0.0111505,0.0254244,0.0175051,0.00797364,0.00982525
