0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35.2653,2.17202,0.843487,1.24967,0.0530346,-0.816124,-0.21576,-0.371306,0.270614,0.745939,0.838654,0.00471087,-0.565152,0.326923,-0.474815,0.0168776,0.352661,0.357025,0.687714,0.288716
-11.9551,4.30948,-1.5615,0.592889,-0.334682,-0.111783,-0.109387,0.246711,-0.640416,-0.226833,-0.168021,0.0466553,0.311206,-0.0577518,-0.250333,-0.197376,0.5598,0.0717992,-0.175989,-0.0758996
-9.1635,4.41064,-1.58112,0.936662,-0.0138309,0.358915,-0.301566,-0.037792,-0.626904,-0.331063,-0.360271,0.080756,0.364877,0.0415015,-0.425896,-0.090189,0.663903,0.0745352,0.327243,0.0366299
-9.46428,4.33386,-1.43457,0.838477,-0.0887208,0.367471,-0.331947,-0.061183,-0.544067,-0.376796,-0.287899,0.208114,0.485259,0.21327,-0.226251,-0.00989559,0.263427,-0.0238964,0.492694,0.0506507
-9.67677,4.44601,-1.39702,0.867593,0.00867799,0.255114,-0.156643,0.0629902,-0.328026,-0.281502,-0.168221,0.338896,0.36547,0.306838,-0.157703,0.0261507,0.178639,0.0276129,0.452622,-0.115281
-9.99255,4.46214,-1.51881,1.00618,0.0199043,0.281593,-0.169814,0.0558114,-0.189244,-0.26141,-0.125413,0.397505,0.471585,0.47697,-0.129287,0.0711405,0.107893,0.0145471,0.424356,-0.141582
